Memory Usage: 540.945 MB, CPU Usage: 168.00 %, Power Usage: 114.78095700000000000000 W
Memory Usage: 452.453 MB, CPU Usage: 139.00 %, Power Usage: 112.00636500000000000000 W
Memory Usage: 453.316 MB, CPU Usage: 155.00 %, Power Usage: 114.32313400000000000000 W
Memory Usage: 453.891 MB, CPU Usage: 155.00 %, Power Usage: 113.12232900000000000000 W
Memory Usage: 454.41 MB, CPU Usage: 139.00 %, Power Usage: 112.33308700000000000000 W
Memory Usage: 454.977 MB, CPU Usage: 174.00 %, Power Usage: 112.94038500000000000000 W
Memory Usage: 455.074 MB, CPU Usage: 160.00 %, Power Usage: 115.34852000000000000000 W
Memory Usage: 535.176 MB, CPU Usage: 184.00 %, Power Usage: 118.78186100000000000000 W
Memory Usage: 456.473 MB, CPU Usage: 169.00 %, Power Usage: 119.24286000000000000000 W
Memory Usage: 457.105 MB, CPU Usage: 166.00 %, Power Usage: 120.28167400000000000000 W
Memory Usage: 457.32 MB, CPU Usage: 149.00 %, Power Usage: 118.21399100000000000000 W
Memory Usage: 459.387 MB, CPU Usage: 152.48 %, Power Usage: 113.85914500000000000000 W
Memory Usage: 459.613 MB, CPU Usage: 176.00 %, Power Usage: 116.82520100000000000000 W
Memory Usage: 460.922 MB, CPU Usage: 137.00 %, Power Usage: 117.35596200000000000000 W
Memory Usage: 461.191 MB, CPU Usage: 155.45 %, Power Usage: 115.93293100000000000000 W
Memory Usage: 461.664 MB, CPU Usage: 147.00 %, Power Usage: 114.46626000000000000000 W
Memory Usage: 462.258 MB, CPU Usage: 173.00 %, Power Usage: 118.76342900000000000000 W
Memory Usage: 462.613 MB, CPU Usage: 168.00 %, Power Usage: 118.65466400000000000000 W
Memory Usage: 463.48 MB, CPU Usage: 174.00 %, Power Usage: 121.30425500000000000000 W
Memory Usage: 463.98 MB, CPU Usage: 172.00 %, Power Usage: 116.49573400000000000000 W
Memory Usage: 465.129 MB, CPU Usage: 162.00 %, Power Usage: 115.53223600000000000000 W
Memory Usage: 465.352 MB, CPU Usage: 156.44 %, Power Usage: 115.02491300000000000000 W
Memory Usage: 466.09 MB, CPU Usage: 152.00 %, Power Usage: 114.62830800000000000000 W
Memory Usage: 466.371 MB, CPU Usage: 159.00 %, Power Usage: 113.20893900000000000000 W
Memory Usage: 467.164 MB, CPU Usage: 165.00 %, Power Usage: 114.45820400000000000000 W
Memory Usage: 467.379 MB, CPU Usage: 151.00 %, Power Usage: 112.29463400000000000000 W
Memory Usage: 467.605 MB, CPU Usage: 141.00 %, Power Usage: 112.40162800000000000000 W
Memory Usage: 467.836 MB, CPU Usage: 150.00 %, Power Usage: 111.95705000000000000000 W
Memory Usage: 469.012 MB, CPU Usage: 180.00 %, Power Usage: 114.69184500000000000000 W
Memory Usage: 470.117 MB, CPU Usage: 184.00 %, Power Usage: 114.36298900000000000000 W
Memory Usage: 470.426 MB, CPU Usage: 162.00 %, Power Usage: 114.65797000000000000000 W
Memory Usage: 471.055 MB, CPU Usage: 152.48 %, Power Usage: 113.32856700000000000000 W
Memory Usage: 471.266 MB, CPU Usage: 166.00 %, Power Usage: 113.73658700000000000000 W
Memory Usage: 471.848 MB, CPU Usage: 145.00 %, Power Usage: 113.39833000000000000000 W
Memory Usage: 472.887 MB, CPU Usage: 161.00 %, Power Usage: 114.39600900000000000000 W
Memory Usage: 473.059 MB, CPU Usage: 161.00 %, Power Usage: 112.88789400000000000000 W
Memory Usage: 472.625 MB, CPU Usage: 145.00 %, Power Usage: 112.78914000000000000000 W
Memory Usage: 473.219 MB, CPU Usage: 171.00 %, Power Usage: 112.76954800000000000000 W
Memory Usage: 473.68 MB, CPU Usage: 150.50 %, Power Usage: 113.56257500000000000000 W
Memory Usage: 474.25 MB, CPU Usage: 147.00 %, Power Usage: 112.09712500000000000000 W
Memory Usage: 473.75 MB, CPU Usage: 165.00 %, Power Usage: 114.64161400000000000000 W
Memory Usage: 473.504 MB, CPU Usage: 166.00 %, Power Usage: 114.50574900000000000000 W
Memory Usage: 474.02 MB, CPU Usage: 163.00 %, Power Usage: 113.62971400000000000000 W
Memory Usage: 474.602 MB, CPU Usage: 166.00 %, Power Usage: 115.03083400000000000000 W
Memory Usage: 474.781 MB, CPU Usage: 144.00 %, Power Usage: 113.30659400000000000000 W
Memory Usage: 474.984 MB, CPU Usage: 167.00 %, Power Usage: 115.78370000000000000000 W
Memory Usage: 506.547 MB, CPU Usage: 170.00 %, Power Usage: 114.50025700000000000000 W
Memory Usage: 475.219 MB, CPU Usage: 154.00 %, Power Usage: 113.47035100000000000000 W
Memory Usage: 475.113 MB, CPU Usage: 160.00 %, Power Usage: 114.87897800000000000000 W
Memory Usage: 475.66 MB, CPU Usage: 155.00 %, Power Usage: 113.61610300000000000000 W
Memory Usage: 475.875 MB, CPU Usage: 150.00 %, Power Usage: 114.48475400000000000000 W
Memory Usage: 475.875 MB, CPU Usage: 156.00 %, Power Usage: 113.50740000000000000000 W
Memory Usage: 576.809 MB, CPU Usage: 161.00 %, Power Usage: 115.81311900000000000000 W
Memory Usage: 476.117 MB, CPU Usage: 169.00 %, Power Usage: 115.72071200000000000000 W
Memory Usage: 725.691 MB, CPU Usage: 146.00 %, Power Usage: 110.76338800000000000000 W
Memory Usage: 475.617 MB, CPU Usage: 171.00 %, Power Usage: 116.16632900000000000000 W
Memory Usage: 476.078 MB, CPU Usage: 179.00 %, Power Usage: 114.62995500000000000000 W
Memory Usage: 476.332 MB, CPU Usage: 163.00 %, Power Usage: 113.26313900000000000000 W
Memory Usage: 476.266 MB, CPU Usage: 171.00 %, Power Usage: 115.98004900000000000000 W
Memory Usage: 476.77 MB, CPU Usage: 147.00 %, Power Usage: 114.07301100000000000000 W
Memory Usage: 476.375 MB, CPU Usage: 172.00 %, Power Usage: 115.44245300000000000000 W
Memory Usage: 477.27 MB, CPU Usage: 160.00 %, Power Usage: 114.69801000000000000000 W
Memory Usage: 477.203 MB, CPU Usage: 168.00 %, Power Usage: 115.52796400000000000000 W
Memory Usage: 476.996 MB, CPU Usage: 151.00 %, Power Usage: 113.23377900000000000000 W
Memory Usage: 477.309 MB, CPU Usage: 158.00 %, Power Usage: 112.86561800000000000000 W
Memory Usage: 477.309 MB, CPU Usage: 162.38 %, Power Usage: 114.82941700000000000000 W
Memory Usage: 476.738 MB, CPU Usage: 168.32 %, Power Usage: 115.54767800000000000000 W
Memory Usage: 476.945 MB, CPU Usage: 159.41 %, Power Usage: 115.12299700000000000000 W
Memory Usage: 653.934 MB, CPU Usage: 163.00 %, Power Usage: 114.75251300000000000000 W
Memory Usage: 477.375 MB, CPU Usage: 156.00 %, Power Usage: 115.49384500000000000000 W
Memory Usage: 476.902 MB, CPU Usage: 187.00 %, Power Usage: 116.24311100000000000000 W
Memory Usage: 477.371 MB, CPU Usage: 185.00 %, Power Usage: 115.23066200000000000000 W
Memory Usage: 477.582 MB, CPU Usage: 162.00 %, Power Usage: 114.85474700000000000000 W
Memory Usage: 477.582 MB, CPU Usage: 156.00 %, Power Usage: 113.40467800000000000000 W
Memory Usage: 477.582 MB, CPU Usage: 157.00 %, Power Usage: 114.30183200000000000000 W
Memory Usage: 477.332 MB, CPU Usage: 155.00 %, Power Usage: 115.29377200000000000000 W
Memory Usage: 477.332 MB, CPU Usage: 163.00 %, Power Usage: 113.52497800000000000000 W
Memory Usage: 477.586 MB, CPU Usage: 170.00 %, Power Usage: 113.41725100000000000000 W
Memory Usage: 478.699 MB, CPU Usage: 184.00 %, Power Usage: 116.65344900000000000000 W
Memory Usage: 478.77 MB, CPU Usage: 165.00 %, Power Usage: 116.49652800000000000000 W
Memory Usage: 483.723 MB, CPU Usage: 183.00 %, Power Usage: 116.80646300000000000000 W
Memory Usage: 585.25 MB, CPU Usage: 157.00 %, Power Usage: 115.00672500000000000000 W
Memory Usage: 478.047 MB, CPU Usage: 163.00 %, Power Usage: 114.26325800000000000000 W
Memory Usage: 478.332 MB, CPU Usage: 164.00 %, Power Usage: 115.41571900000000000000 W
Memory Usage: 478.633 MB, CPU Usage: 163.00 %, Power Usage: 115.77930700000000000000 W
Memory Usage: 478.945 MB, CPU Usage: 153.00 %, Power Usage: 114.37214400000000000000 W
Memory Usage: 478.945 MB, CPU Usage: 160.00 %, Power Usage: 115.51807500000000000000 W
Memory Usage: 478.945 MB, CPU Usage: 166.00 %, Power Usage: 113.13154700000000000000 W
Memory Usage: 478.617 MB, CPU Usage: 136.63 %, Power Usage: 112.95875600000000000000 W
Memory Usage: 478.617 MB, CPU Usage: 175.00 %, Power Usage: 114.55714100000000000000 W
Memory Usage: 478.719 MB, CPU Usage: 163.00 %, Power Usage: 115.37104200000000000000 W
Memory Usage: 479.516 MB, CPU Usage: 177.00 %, Power Usage: 116.76514300000000000000 W
Memory Usage: 479.516 MB, CPU Usage: 154.00 %, Power Usage: 115.38349300000000000000 W
Memory Usage: 479.535 MB, CPU Usage: 129.00 %, Power Usage: 114.20905900000000000000 W
Memory Usage: 521.996 MB, CPU Usage: 182.00 %, Power Usage: 116.44086400000000000000 W
Memory Usage: 479.496 MB, CPU Usage: 167.33 %, Power Usage: 115.34662900000000000000 W
Memory Usage: 479.453 MB, CPU Usage: 168.00 %, Power Usage: 115.43989000000000000000 W
Memory Usage: 479.766 MB, CPU Usage: 171.00 %, Power Usage: 115.32727900000000000000 W
Memory Usage: 479.754 MB, CPU Usage: 145.00 %, Power Usage: 114.21937400000000000000 W
Memory Usage: 553.504 MB, CPU Usage: 182.00 %, Power Usage: 118.26336900000000000000 W
Memory Usage: 479.727 MB, CPU Usage: 169.00 %, Power Usage: 119.10345500000000000000 W
Memory Usage: 480.227 MB, CPU Usage: 153.00 %, Power Usage: 116.92145400000000000000 W
Memory Usage: 480.227 MB, CPU Usage: 165.00 %, Power Usage: 115.27973300000000000000 W
Memory Usage: 479.906 MB, CPU Usage: 143.00 %, Power Usage: 115.52711000000000000000 W
Memory Usage: 480.504 MB, CPU Usage: 181.00 %, Power Usage: 117.03253700000000000000 W
Memory Usage: 480.527 MB, CPU Usage: 166.00 %, Power Usage: 116.31281300000000000000 W
Memory Usage: 480.562 MB, CPU Usage: 164.00 %, Power Usage: 113.64698600000000000000 W
Memory Usage: 480.547 MB, CPU Usage: 170.00 %, Power Usage: 117.37579800000000000000 W
Memory Usage: 492.699 MB, CPU Usage: 177.00 %, Power Usage: 116.09302600000000000000 W
Memory Usage: 481.082 MB, CPU Usage: 164.00 %, Power Usage: 115.78290700000000000000 W
Memory Usage: 522.332 MB, CPU Usage: 140.00 %, Power Usage: 115.46674500000000000000 W
Memory Usage: 481.02 MB, CPU Usage: 162.00 %, Power Usage: 115.27119000000000000000 W
Memory Usage: 481.02 MB, CPU Usage: 163.00 %, Power Usage: 113.81049900000000000000 W
Memory Usage: 481.02 MB, CPU Usage: 143.00 %, Power Usage: 113.90992600000000000000 W
Memory Usage: 481.02 MB, CPU Usage: 164.00 %, Power Usage: 114.95747000000000000000 W
Memory Usage: 481.02 MB, CPU Usage: 175.00 %, Power Usage: 115.44397900000000000000 W
Memory Usage: 481.02 MB, CPU Usage: 172.00 %, Power Usage: 122.35259200000000000000 W
Memory Usage: 605.078 MB, CPU Usage: 164.00 %, Power Usage: 121.56792600000000000000 W
Memory Usage: 481.699 MB, CPU Usage: 163.00 %, Power Usage: 121.09893400000000000000 W
Memory Usage: 481.699 MB, CPU Usage: 155.00 %, Power Usage: 119.49981500000000000000 W
Memory Usage: 481.844 MB, CPU Usage: 183.00 %, Power Usage: 121.95726800000000000000 W
Memory Usage: 481.699 MB, CPU Usage: 171.00 %, Power Usage: 119.95782300000000000000 W
Memory Usage: 481.699 MB, CPU Usage: 177.00 %, Power Usage: 120.39324700000000000000 W
Memory Usage: 481.652 MB, CPU Usage: 161.00 %, Power Usage: 119.86077700000000000000 W
Memory Usage: 481.652 MB, CPU Usage: 167.00 %, Power Usage: 118.38244800000000000000 W
Memory Usage: 481.652 MB, CPU Usage: 160.00 %, Power Usage: 116.68744600000000000000 W
Memory Usage: 481.328 MB, CPU Usage: 156.00 %, Power Usage: 115.79999600000000000000 W
Memory Usage: 483.605 MB, CPU Usage: 187.00 %, Power Usage: 123.14262900000000000000 W
Memory Usage: 483.922 MB, CPU Usage: 183.00 %, Power Usage: 120.56731900000000000000 W
Memory Usage: 709.234 MB, CPU Usage: 168.00 %, Power Usage: 117.76678800000000000000 W
Memory Usage: 483.797 MB, CPU Usage: 179.00 %, Power Usage: 122.96013400000000000000 W
Memory Usage: 483.793 MB, CPU Usage: 170.00 %, Power Usage: 116.45075200000000000000 W
Memory Usage: 484.105 MB, CPU Usage: 154.00 %, Power Usage: 114.40211200000000000000 W
Memory Usage: 484.418 MB, CPU Usage: 155.00 %, Power Usage: 114.85102400000000000000 W
Memory Usage: 484.395 MB, CPU Usage: 156.00 %, Power Usage: 114.61024200000000000000 W
Memory Usage: 484.418 MB, CPU Usage: 171.00 %, Power Usage: 115.44806800000000000000 W
Memory Usage: 484.848 MB, CPU Usage: 145.00 %, Power Usage: 113.17329500000000000000 W
Memory Usage: 484.848 MB, CPU Usage: 158.00 %, Power Usage: 114.86292600000000000000 W
Memory Usage: 484.832 MB, CPU Usage: 148.00 %, Power Usage: 113.81556500000000000000 W
Memory Usage: 517.02 MB, CPU Usage: 171.00 %, Power Usage: 114.48884300000000000000 W
Memory Usage: 484.789 MB, CPU Usage: 157.00 %, Power Usage: 115.14783800000000000000 W
Memory Usage: 485.656 MB, CPU Usage: 172.00 %, Power Usage: 115.53748400000000000000 W
Memory Usage: 644.094 MB, CPU Usage: 153.00 %, Power Usage: 113.33436700000000000000 W
Memory Usage: 486.227 MB, CPU Usage: 185.00 %, Power Usage: 114.19910900000000000000 W
Memory Usage: 486.176 MB, CPU Usage: 162.00 %, Power Usage: 115.53455500000000000000 W
Memory Usage: 486.488 MB, CPU Usage: 165.00 %, Power Usage: 115.64209900000000000000 W
Memory Usage: 486.172 MB, CPU Usage: 168.00 %, Power Usage: 113.78364500000000000000 W
Memory Usage: 486.613 MB, CPU Usage: 152.00 %, Power Usage: 114.26734600000000000000 W
Memory Usage: 486.613 MB, CPU Usage: 165.00 %, Power Usage: 114.57758700000000000000 W
Memory Usage: 485.68 MB, CPU Usage: 169.00 %, Power Usage: 114.20881500000000000000 W
Memory Usage: 486.266 MB, CPU Usage: 156.00 %, Power Usage: 113.60255300000000000000 W
Memory Usage: 486.277 MB, CPU Usage: 171.00 %, Power Usage: 114.96546500000000000000 W
Memory Usage: 486.461 MB, CPU Usage: 183.00 %, Power Usage: 116.42700900000000000000 W
Memory Usage: 486.461 MB, CPU Usage: 163.00 %, Power Usage: 114.79737500000000000000 W
Memory Usage: 487.008 MB, CPU Usage: 178.00 %, Power Usage: 115.71705000000000000000 W
Memory Usage: 487.008 MB, CPU Usage: 155.00 %, Power Usage: 115.15223100000000000000 W
Memory Usage: 539.141 MB, CPU Usage: 136.00 %, Power Usage: 114.11939800000000000000 W
Memory Usage: 487.574 MB, CPU Usage: 164.00 %, Power Usage: 116.38806900000000000000 W
Memory Usage: 487.887 MB, CPU Usage: 175.00 %, Power Usage: 115.78101500000000000000 W
Memory Usage: 487.676 MB, CPU Usage: 175.00 %, Power Usage: 115.41211900000000000000 W
Memory Usage: 487.957 MB, CPU Usage: 152.00 %, Power Usage: 114.25196600000000000000 W
Memory Usage: 487.641 MB, CPU Usage: 173.00 %, Power Usage: 114.71009400000000000000 W
Memory Usage: 487.277 MB, CPU Usage: 159.00 %, Power Usage: 114.77216800000000000000 W
Memory Usage: 487.273 MB, CPU Usage: 150.00 %, Power Usage: 113.51716500000000000000 W
Memory Usage: 487.266 MB, CPU Usage: 182.00 %, Power Usage: 116.71515500000000000000 W
Memory Usage: 511.016 MB, CPU Usage: 130.00 %, Power Usage: 113.70417700000000000000 W
Memory Usage: 488.02 MB, CPU Usage: 183.00 %, Power Usage: 116.47199200000000000000 W
Memory Usage: 487.859 MB, CPU Usage: 151.00 %, Power Usage: 115.47260400000000000000 W
Memory Usage: 487.82 MB, CPU Usage: 183.00 %, Power Usage: 117.72070800000000000000 W
