Memory Usage: 1420.89 MB, CPU Usage: 199.00 %, Power Usage: 125.36595000000000000000 W
Memory Usage: 1406.92 MB, CPU Usage: 198.00 %, Power Usage: 128.53311900000000000000 W
Memory Usage: 1415.36 MB, CPU Usage: 199.00 %, Power Usage: 125.07096900000000000000 W
Memory Usage: 1437.55 MB, CPU Usage: 200.00 %, Power Usage: 125.29893400000000000000 W
Memory Usage: 1426.12 MB, CPU Usage: 200.00 %, Power Usage: 126.32963300000000000000 W
Memory Usage: 1435.5 MB, CPU Usage: 198.00 %, Power Usage: 126.05595200000000000000 W
Memory Usage: 1458.93 MB, CPU Usage: 200.00 %, Power Usage: 127.87461200000000000000 W
Memory Usage: 1447.46 MB, CPU Usage: 200.00 %, Power Usage: 127.00400800000000000000 W
Memory Usage: 1454.65 MB, CPU Usage: 198.00 %, Power Usage: 126.55198300000000000000 W
Memory Usage: 1477.15 MB, CPU Usage: 201.00 %, Power Usage: 126.36057800000000000000 W
Memory Usage: 1467.86 MB, CPU Usage: 200.00 %, Power Usage: 125.60081300000000000000 W
Memory Usage: 1476.3 MB, CPU Usage: 199.00 %, Power Usage: 118.86309900000000000000 W
Memory Usage: 1497.24 MB, CPU Usage: 200.00 %, Power Usage: 119.81304800000000000000 W
Memory Usage: 1491.43 MB, CPU Usage: 200.00 %, Power Usage: 118.99224900000000000000 W
Memory Usage: 1499.87 MB, CPU Usage: 200.00 %, Power Usage: 119.64593400000000000000 W
Memory Usage: 1515.14 MB, CPU Usage: 197.03 %, Power Usage: 119.85308600000000000000 W
Memory Usage: 1539.52 MB, CPU Usage: 187.00 %, Power Usage: 128.44925700000000000000 W
Memory Usage: 1522.79 MB, CPU Usage: 201.00 %, Power Usage: 126.44779600000000000000 W
Memory Usage: 1535.6 MB, CPU Usage: 200.00 %, Power Usage: 126.22752100000000000000 W
Memory Usage: 1561.54 MB, CPU Usage: 198.00 %, Power Usage: 126.55070100000000000000 W
Memory Usage: 1548.23 MB, CPU Usage: 200.00 %, Power Usage: 125.94773700000000000000 W
Memory Usage: 1560.11 MB, CPU Usage: 198.02 %, Power Usage: 124.58525200000000000000 W
Memory Usage: 1585.11 MB, CPU Usage: 200.00 %, Power Usage: 125.55381700000000000000 W
Memory Usage: 1573.95 MB, CPU Usage: 200.00 %, Power Usage: 124.61162000000000000000 W
Memory Usage: 1585.2 MB, CPU Usage: 198.00 %, Power Usage: 120.26983400000000000000 W
Memory Usage: 1610.51 MB, CPU Usage: 201.00 %, Power Usage: 119.11608900000000000000 W
Memory Usage: 1602.83 MB, CPU Usage: 200.00 %, Power Usage: 122.74431500000000000000 W
Memory Usage: 1613.46 MB, CPU Usage: 198.00 %, Power Usage: 120.10070500000000000000 W
Memory Usage: 1635.33 MB, CPU Usage: 199.00 %, Power Usage: 120.10137700000000000000 W
Memory Usage: 1661.27 MB, CPU Usage: 198.00 %, Power Usage: 119.94409000000000000000 W
Memory Usage: 1647.65 MB, CPU Usage: 200.00 %, Power Usage: 119.75744500000000000000 W
Memory Usage: 1664.84 MB, CPU Usage: 198.00 %, Power Usage: 122.86003700000000000000 W
Memory Usage: 1693.9 MB, CPU Usage: 198.00 %, Power Usage: 120.78441900000000000000 W
Memory Usage: 1685.02 MB, CPU Usage: 200.00 %, Power Usage: 126.98466100000000000000 W
Memory Usage: 1699.7 MB, CPU Usage: 198.00 %, Power Usage: 123.35008700000000000000 W
Memory Usage: 1731.22 MB, CPU Usage: 199.00 %, Power Usage: 122.24193500000000000000 W
Memory Usage: 1727.61 MB, CPU Usage: 200.00 %, Power Usage: 118.94183400000000000000 W
Memory Usage: 1746.04 MB, CPU Usage: 197.00 %, Power Usage: 121.63061000000000000000 W
Memory Usage: 1327 MB, CPU Usage: 201.00 %, Power Usage: 118.69787700000000000000 W
Memory Usage: 1342.32 MB, CPU Usage: 197.00 %, Power Usage: 119.22564700000000000000 W
Memory Usage: 1319.64 MB, CPU Usage: 200.00 %, Power Usage: 119.54827800000000000000 W
Memory Usage: 1328.7 MB, CPU Usage: 200.00 %, Power Usage: 124.02763700000000000000 W
Memory Usage: 1348.39 MB, CPU Usage: 198.00 %, Power Usage: 124.14012400000000000000 W
Memory Usage: 1327.27 MB, CPU Usage: 200.00 %, Power Usage: 119.99200200000000000000 W
Memory Usage: 1348.83 MB, CPU Usage: 200.00 %, Power Usage: 120.09850800000000000000 W
Memory Usage: 1351.33 MB, CPU Usage: 200.00 %, Power Usage: 120.05175600000000000000 W
Memory Usage: 1334.91 MB, CPU Usage: 199.00 %, Power Usage: 126.26286100000000000000 W
Memory Usage: 1337.72 MB, CPU Usage: 199.00 %, Power Usage: 127.07651700000000000000 W
Memory Usage: 1354.91 MB, CPU Usage: 200.00 %, Power Usage: 127.02518800000000000000 W
Memory Usage: 1342.23 MB, CPU Usage: 200.00 %, Power Usage: 127.30124900000000000000 W
Memory Usage: 1345.04 MB, CPU Usage: 198.00 %, Power Usage: 126.63218400000000000000 W
Memory Usage: 1362.54 MB, CPU Usage: 200.00 %, Power Usage: 126.48264700000000000000 W
Memory Usage: 1349.55 MB, CPU Usage: 200.00 %, Power Usage: 126.08689500000000000000 W
Memory Usage: 1352.36 MB, CPU Usage: 198.00 %, Power Usage: 126.16593800000000000000 W
Memory Usage: 1370.49 MB, CPU Usage: 200.00 %, Power Usage: 126.36820600000000000000 W
Memory Usage: 1356.25 MB, CPU Usage: 200.00 %, Power Usage: 128.62357300000000000000 W
Memory Usage: 1357.81 MB, CPU Usage: 199.00 %, Power Usage: 126.49784500000000000000 W
Memory Usage: 1376.21 MB, CPU Usage: 199.00 %, Power Usage: 126.43265900000000000000 W
Memory Usage: 1362.29 MB, CPU Usage: 200.00 %, Power Usage: 126.79484200000000000000 W
Memory Usage: 1365.1 MB, CPU Usage: 199.00 %, Power Usage: 126.84782000000000000000 W
Memory Usage: 1383.54 MB, CPU Usage: 199.00 %, Power Usage: 127.35520400000000000000 W
Memory Usage: 1369.82 MB, CPU Usage: 199.00 %, Power Usage: 127.81296500000000000000 W
Memory Usage: 1372.64 MB, CPU Usage: 198.00 %, Power Usage: 128.20725300000000000000 W
Memory Usage: 1389.68 MB, CPU Usage: 201.00 %, Power Usage: 127.83139900000000000000 W
Memory Usage: 1377 MB, CPU Usage: 200.00 %, Power Usage: 127.49601100000000000000 W
Memory Usage: 1379.81 MB, CPU Usage: 198.00 %, Power Usage: 127.01200400000000000000 W
Memory Usage: 1396.37 MB, CPU Usage: 200.00 %, Power Usage: 127.49198300000000000000 W
Memory Usage: 1383.69 MB, CPU Usage: 200.00 %, Power Usage: 126.78928800000000000000 W
Memory Usage: 1386.82 MB, CPU Usage: 199.00 %, Power Usage: 126.88322000000000000000 W
Memory Usage: 1403.69 MB, CPU Usage: 200.00 %, Power Usage: 126.72379600000000000000 W
Memory Usage: 1390.7 MB, CPU Usage: 200.00 %, Power Usage: 126.62095300000000000000 W
Memory Usage: 1392.57 MB, CPU Usage: 199.00 %, Power Usage: 129.85208400000000000000 W
Memory Usage: 1410.07 MB, CPU Usage: 200.00 %, Power Usage: 128.36118400000000000000 W
Memory Usage: 1397.66 MB, CPU Usage: 201.00 %, Power Usage: 125.40580600000000000000 W
Memory Usage: 1399.23 MB, CPU Usage: 198.00 %, Power Usage: 124.65507600000000000000 W
Memory Usage: 1417.35 MB, CPU Usage: 200.00 %, Power Usage: 124.16923800000000000000 W
Memory Usage: 1404.98 MB, CPU Usage: 200.00 %, Power Usage: 124.32176500000000000000 W
Memory Usage: 1406.86 MB, CPU Usage: 199.00 %, Power Usage: 119.28991600000000000000 W
Memory Usage: 1421.86 MB, CPU Usage: 200.00 %, Power Usage: 117.82574900000000000000 W
Memory Usage: 1411.68 MB, CPU Usage: 200.00 %, Power Usage: 117.32507700000000000000 W
Memory Usage: 1413.56 MB, CPU Usage: 199.00 %, Power Usage: 117.69714800000000000000 W
Memory Usage: 1428.92 MB, CPU Usage: 201.00 %, Power Usage: 117.83478100000000000000 W
Memory Usage: 1418.74 MB, CPU Usage: 200.00 %, Power Usage: 117.61041700000000000000 W
Memory Usage: 1420.93 MB, CPU Usage: 199.00 %, Power Usage: 117.37994800000000000000 W
Memory Usage: 1435.93 MB, CPU Usage: 201.00 %, Power Usage: 117.47089200000000000000 W
Memory Usage: 1423.56 MB, CPU Usage: 199.00 %, Power Usage: 117.39539000000000000000 W
Memory Usage: 1424.5 MB, CPU Usage: 197.03 %, Power Usage: 117.76654400000000000000 W
Memory Usage: 1439.5 MB, CPU Usage: 200.00 %, Power Usage: 117.75726600000000000000 W
Memory Usage: 1429.63 MB, CPU Usage: 200.00 %, Power Usage: 117.28882500000000000000 W
Memory Usage: 1431.51 MB, CPU Usage: 197.00 %, Power Usage: 117.47211100000000000000 W
Memory Usage: 1446.82 MB, CPU Usage: 200.00 %, Power Usage: 118.08850400000000000000 W
Memory Usage: 1436.33 MB, CPU Usage: 200.00 %, Power Usage: 117.63446300000000000000 W
Memory Usage: 1439.14 MB, CPU Usage: 198.00 %, Power Usage: 119.64135700000000000000 W
Memory Usage: 1452.58 MB, CPU Usage: 200.00 %, Power Usage: 116.38599400000000000000 W
Memory Usage: 1477.58 MB, CPU Usage: 196.04 %, Power Usage: 116.72345600000000000000 W
Memory Usage: 1446.78 MB, CPU Usage: 200.00 %, Power Usage: 116.29785900000000000000 W
Memory Usage: 1457.41 MB, CPU Usage: 201.00 %, Power Usage: 118.22162100000000000000 W
Memory Usage: 1475.54 MB, CPU Usage: 199.00 %, Power Usage: 136.80897500000000000000 W
Memory Usage: 1452.86 MB, CPU Usage: 199.00 %, Power Usage: 169.82604300000000000000 W
Memory Usage: 1454.11 MB, CPU Usage: 198.00 %, Power Usage: 161.25856000000000000000 W
Memory Usage: 1465.92 MB, CPU Usage: 201.00 %, Power Usage: 151.00455700000000000000 W
Memory Usage: 1479.98 MB, CPU Usage: 198.00 %, Power Usage: 178.67678800000000000000 W
Memory Usage: 1457.61 MB, CPU Usage: 199.00 %, Power Usage: 153.56509800000000000000 W
Memory Usage: 1460.11 MB, CPU Usage: 199.00 %, Power Usage: 165.68616100000000000000 W
Memory Usage: 1467.62 MB, CPU Usage: 200.00 %, Power Usage: 182.61238600000000000000 W
Memory Usage: 1481.68 MB, CPU Usage: 199.00 %, Power Usage: 165.76874000000000000000 W
Memory Usage: 1464.72 MB, CPU Usage: 199.00 %, Power Usage: 146.66594600000000000000 W
Memory Usage: 1466.91 MB, CPU Usage: 199.00 %, Power Usage: 139.99189000000000000000 W
Memory Usage: 1475.43 MB, CPU Usage: 200.00 %, Power Usage: 125.49571100000000000000 W
Memory Usage: 1491.68 MB, CPU Usage: 200.00 %, Power Usage: 121.04998300000000000000 W
Memory Usage: 1473.38 MB, CPU Usage: 199.00 %, Power Usage: 118.76373400000000000000 W
Memory Usage: 1476.5 MB, CPU Usage: 198.00 %, Power Usage: 116.76123700000000000000 W
Memory Usage: 1493.69 MB, CPU Usage: 199.00 %, Power Usage: 116.94214500000000000000 W
Memory Usage: 1480.07 MB, CPU Usage: 199.00 %, Power Usage: 116.85138600000000000000 W
Memory Usage: 1482.88 MB, CPU Usage: 199.00 %, Power Usage: 116.88727400000000000000 W
Memory Usage: 1496.01 MB, CPU Usage: 198.00 %, Power Usage: 116.97815500000000000000 W
Memory Usage: 1512.88 MB, CPU Usage: 197.00 %, Power Usage: 117.12024400000000000000 W
Memory Usage: 1489.89 MB, CPU Usage: 199.00 %, Power Usage: 116.89056900000000000000 W
Memory Usage: 1499.89 MB, CPU Usage: 199.00 %, Power Usage: 116.96552200000000000000 W
Memory Usage: 1518.02 MB, CPU Usage: 198.00 %, Power Usage: 116.78247700000000000000 W
Memory Usage: 1495.93 MB, CPU Usage: 200.00 %, Power Usage: 116.37213800000000000000 W
Memory Usage: 1503.33 MB, CPU Usage: 199.00 %, Power Usage: 116.56897700000000000000 W
Memory Usage: 1517.39 MB, CPU Usage: 200.00 %, Power Usage: 118.62994500000000000000 W
Memory Usage: 1501.2 MB, CPU Usage: 200.00 %, Power Usage: 116.40790500000000000000 W
Memory Usage: 1503.7 MB, CPU Usage: 198.00 %, Power Usage: 115.97846300000000000000 W
Memory Usage: 1516.28 MB, CPU Usage: 200.00 %, Power Usage: 116.20703900000000000000 W
Memory Usage: 1531.59 MB, CPU Usage: 198.00 %, Power Usage: 116.06580400000000000000 W
Memory Usage: 1508.23 MB, CPU Usage: 200.00 %, Power Usage: 116.50867400000000000000 W
Memory Usage: 1517.19 MB, CPU Usage: 200.00 %, Power Usage: 116.46253100000000000000 W
Memory Usage: 1534.06 MB, CPU Usage: 197.00 %, Power Usage: 116.17115100000000000000 W
Memory Usage: 1508.93 MB, CPU Usage: 199.00 %, Power Usage: 116.57001400000000000000 W
Memory Usage: 1513.93 MB, CPU Usage: 199.00 %, Power Usage: 116.22882800000000000000 W
Memory Usage: 1533.3 MB, CPU Usage: 199.00 %, Power Usage: 116.30786900000000000000 W
Memory Usage: 1512.89 MB, CPU Usage: 198.00 %, Power Usage: 116.27796200000000000000 W
Memory Usage: 1516.02 MB, CPU Usage: 197.00 %, Power Usage: 116.31208000000000000000 W
Memory Usage: 1534.15 MB, CPU Usage: 199.00 %, Power Usage: 116.39795600000000000000 W
Memory Usage: 1516.72 MB, CPU Usage: 198.00 %, Power Usage: 117.10083600000000000000 W
Memory Usage: 1519.85 MB, CPU Usage: 181.00 %, Power Usage: 118.87939500000000000000 W
Memory Usage: 1527.66 MB, CPU Usage: 199.00 %, Power Usage: 116.48468700000000000000 W
Memory Usage: 1546.1 MB, CPU Usage: 198.00 %, Power Usage: 117.36939000000000000000 W
Memory Usage: 1525.7 MB, CPU Usage: 199.00 %, Power Usage: 116.93530800000000000000 W
Memory Usage: 1530.38 MB, CPU Usage: 197.00 %, Power Usage: 116.52948700000000000000 W
Memory Usage: 1546.03 MB, CPU Usage: 199.00 %, Power Usage: 116.65222800000000000000 W
Memory Usage: 1528.45 MB, CPU Usage: 199.00 %, Power Usage: 116.03827700000000000000 W
Memory Usage: 1531.26 MB, CPU Usage: 197.00 %, Power Usage: 116.50348700000000000000 W
Memory Usage: 1546.89 MB, CPU Usage: 198.00 %, Power Usage: 116.06958800000000000000 W
Memory Usage: 1560.01 MB, CPU Usage: 198.00 %, Power Usage: 116.20148400000000000000 W
Memory Usage: 1537.64 MB, CPU Usage: 200.00 %, Power Usage: 116.10974900000000000000 W
Memory Usage: 1544.98 MB, CPU Usage: 199.00 %, Power Usage: 116.34418500000000000000 W
Memory Usage: 1563.73 MB, CPU Usage: 197.00 %, Power Usage: 116.36280000000000000000 W
