2025/01/07 21:22:26.383, 38.76 W, 0 %, 487 MiB, 16384 MiB
2025/01/07 21:22:27.412, 39.01 W, 0 %, 487 MiB, 16384 MiB
2025/01/07 21:22:28.441, 55.36 W, 20 %, 565 MiB, 16384 MiB
2025/01/07 21:22:29.472, 45.57 W, 21 %, 529 MiB, 16384 MiB
2025/01/07 21:22:30.501, 41.19 W, 17 %, 713 MiB, 16384 MiB
2025/01/07 21:22:31.531, 39.01 W, 0 %, 487 MiB, 16384 MiB
2025/01/07 21:22:32.560, 42.17 W, 20 %, 517 MiB, 16384 MiB
2025/01/07 21:22:33.588, 38.74 W, 0 %, 487 MiB, 16384 MiB
2025/01/07 21:22:34.617, 47.56 W, 29 %, 533 MiB, 16384 MiB
2025/01/07 21:22:35.647, 39.49 W, 78 %, 511 MiB, 16384 MiB
2025/01/07 21:22:36.678, 39.02 W, 0 %, 487 MiB, 16384 MiB
2025/01/07 21:22:37.708, 42.17 W, 0 %, 715 MiB, 16384 MiB
2025/01/07 21:22:38.742, 39.02 W, 0 %, 487 MiB, 16384 MiB
2025/01/07 21:22:39.775, 38.77 W, 0 %, 487 MiB, 16384 MiB
2025/01/07 21:22:40.805, 39.47 W, 31 %, 571 MiB, 16384 MiB
2025/01/07 21:22:41.838, 39.01 W, 0 %, 487 MiB, 16384 MiB
2025/01/07 21:22:42.868, 39.71 W, 22 %, 587 MiB, 16384 MiB
2025/01/07 21:22:43.897, 45.34 W, 0 %, 539 MiB, 16384 MiB
2025/01/07 21:22:44.926, 39.25 W, 12 %, 487 MiB, 16384 MiB
2025/01/07 21:22:45.955, 71.70 W, 13 %, 595 MiB, 16384 MiB
2025/01/07 21:22:46.984, 39.25 W, 0 %, 487 MiB, 16384 MiB
2025/01/07 21:22:48.016, 90.66 W, 23 %, 807 MiB, 16384 MiB
2025/01/07 21:22:49.048, 39.71 W, 13 %, 539 MiB, 16384 MiB
2025/01/07 21:22:50.081, 39.02 W, 13 %, 487 MiB, 16384 MiB
