Memory Usage: 160.703 MB, CPU Usage: 160.00 %, Power Usage: 53.21421900000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 90.00 %, Power Usage: 94.66748200000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 90.00 %, Power Usage: 95.06158500000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 92.00 %, Power Usage: 95.09546000000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 87.00 %, Power Usage: 95.00231900000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 93.00 %, Power Usage: 95.44525200000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 91.00 %, Power Usage: 95.37054400000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 93.00 %, Power Usage: 94.60650900000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 93.00 %, Power Usage: 93.08240300000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 105.00 %, Power Usage: 96.09271000000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 102.00 %, Power Usage: 102.75394900000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 90.00 %, Power Usage: 96.09948500000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 101.98 %, Power Usage: 95.24664300000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 89.00 %, Power Usage: 94.49927000000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 83.00 %, Power Usage: 94.49829400000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 90.00 %, Power Usage: 95.20019500000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 87.00 %, Power Usage: 95.07129000000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 89.00 %, Power Usage: 95.17828400000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 89.00 %, Power Usage: 95.06695600000000000000 W
Memory Usage: 169.156 MB, CPU Usage: 202.00 %, Power Usage: 100.07274300000000000000 W
Memory Usage: 177.281 MB, CPU Usage: 192.00 %, Power Usage: 110.76894300000000000000 W
Memory Usage: 168.418 MB, CPU Usage: 204.00 %, Power Usage: 115.01288800000000000000 W
Memory Usage: 168.418 MB, CPU Usage: 82.00 %, Power Usage: 99.42735800000000000000 W
Memory Usage: 168.418 MB, CPU Usage: 89.00 %, Power Usage: 94.18493900000000000000 W
Memory Usage: 168.418 MB, CPU Usage: 79.00 %, Power Usage: 94.72381900000000000000 W
Memory Usage: 168.418 MB, CPU Usage: 90.00 %, Power Usage: 95.21173100000000000000 W
Memory Usage: 168.418 MB, CPU Usage: 90.00 %, Power Usage: 95.44280900000000000000 W
Memory Usage: 168.418 MB, CPU Usage: 89.00 %, Power Usage: 94.49951500000000000000 W
Memory Usage: 168.418 MB, CPU Usage: 88.00 %, Power Usage: 94.91430700000000000000 W
Memory Usage: 168.418 MB, CPU Usage: 90.00 %, Power Usage: 94.70160100000000000000 W
Memory Usage: 168.418 MB, CPU Usage: 90.00 %, Power Usage: 95.23846500000000000000 W
Memory Usage: 168.418 MB, CPU Usage: 90.00 %, Power Usage: 95.65258700000000000000 W
Memory Usage: 168.418 MB, CPU Usage: 138.61 %, Power Usage: 101.70988300000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 90.00 %, Power Usage: 99.02635800000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 96.00 %, Power Usage: 96.26891900000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 89.00 %, Power Usage: 95.12780800000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 88.00 %, Power Usage: 94.80841300000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 88.00 %, Power Usage: 95.07324300000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 90.00 %, Power Usage: 95.30340500000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 88.00 %, Power Usage: 94.24011500000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 86.00 %, Power Usage: 95.06982500000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 90.00 %, Power Usage: 94.62683300000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 151.00 %, Power Usage: 96.54369800000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 180.00 %, Power Usage: 111.83278300000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 192.00 %, Power Usage: 114.99970600000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 89.00 %, Power Usage: 103.47635900000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 90.00 %, Power Usage: 94.39007800000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 89.00 %, Power Usage: 94.56530900000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 87.00 %, Power Usage: 94.56732400000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 86.00 %, Power Usage: 94.69049200000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 89.00 %, Power Usage: 95.63922100000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 89.00 %, Power Usage: 95.01342900000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 89.00 %, Power Usage: 95.02624600000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 90.00 %, Power Usage: 95.81164400000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 90.00 %, Power Usage: 95.71917700000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 82.00 %, Power Usage: 95.49017200000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 103.00 %, Power Usage: 100.48668200000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 89.00 %, Power Usage: 93.62079200000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 89.00 %, Power Usage: 94.69793900000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 89.00 %, Power Usage: 95.20630000000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 90.00 %, Power Usage: 95.51354900000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 90.00 %, Power Usage: 95.40484600000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 84.00 %, Power Usage: 94.74328800000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 89.11 %, Power Usage: 95.70196400000000000000 W
Memory Usage: 169.043 MB, CPU Usage: 90.00 %, Power Usage: 95.38934400000000000000 W
Memory Usage: 169.355 MB, CPU Usage: 87.00 %, Power Usage: 95.54241800000000000000 W
Memory Usage: 169.355 MB, CPU Usage: 89.00 %, Power Usage: 95.23242300000000000000 W
Memory Usage: 169.355 MB, CPU Usage: 205.00 %, Power Usage: 114.85132900000000000000 W
Memory Usage: 166.598 MB, CPU Usage: 194.00 %, Power Usage: 115.75513600000000000000 W
Memory Usage: 166.598 MB, CPU Usage: 203.00 %, Power Usage: 115.04688500000000000000 W
Memory Usage: 166.598 MB, CPU Usage: 91.00 %, Power Usage: 96.98931500000000000000 W
Memory Usage: 166.598 MB, CPU Usage: 81.00 %, Power Usage: 95.76385400000000000000 W
Memory Usage: 166.598 MB, CPU Usage: 89.00 %, Power Usage: 95.30981500000000000000 W
Memory Usage: 166.598 MB, CPU Usage: 79.00 %, Power Usage: 95.01098700000000000000 W
Memory Usage: 166.91 MB, CPU Usage: 90.00 %, Power Usage: 95.34234600000000000000 W
Memory Usage: 166.91 MB, CPU Usage: 90.00 %, Power Usage: 95.14795000000000000000 W
Memory Usage: 166.91 MB, CPU Usage: 88.12 %, Power Usage: 96.07855000000000000000 W
Memory Usage: 166.91 MB, CPU Usage: 87.00 %, Power Usage: 95.47644100000000000000 W
Memory Usage: 166.91 MB, CPU Usage: 90.00 %, Power Usage: 96.06701500000000000000 W
Memory Usage: 166.91 MB, CPU Usage: 91.00 %, Power Usage: 95.32611000000000000000 W
Memory Usage: 166.91 MB, CPU Usage: 90.00 %, Power Usage: 96.15661400000000000000 W
Memory Usage: 166.91 MB, CPU Usage: 89.00 %, Power Usage: 95.97485300000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 104.00 %, Power Usage: 101.84513700000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 102.00 %, Power Usage: 97.31121300000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 89.00 %, Power Usage: 95.89569000000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 89.00 %, Power Usage: 95.63800000000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 89.00 %, Power Usage: 95.58239600000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 81.00 %, Power Usage: 95.47009300000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 85.15 %, Power Usage: 95.59106300000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.48547400000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 89.00 %, Power Usage: 95.61846800000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 89.00 %, Power Usage: 93.88037600000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.29302900000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.73400900000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 243.00 %, Power Usage: 111.47212600000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 193.00 %, Power Usage: 115.89637100000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 217.00 %, Power Usage: 115.37604800000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 89.00 %, Power Usage: 99.42345100000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 91.00 %, Power Usage: 95.13794000000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 87.00 %, Power Usage: 95.26586900000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.70941100000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 81.00 %, Power Usage: 95.11785900000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 91.75379400000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.36254900000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.43731700000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 89.11 %, Power Usage: 95.86743000000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.73138300000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 91.00 %, Power Usage: 96.08569200000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 96.64318500000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 89.00 %, Power Usage: 95.71240100000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 175.00 %, Power Usage: 94.72223100000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 201.00 %, Power Usage: 103.07419900000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 204.00 %, Power Usage: 115.47645000000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 99.00 %, Power Usage: 96.29870400000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.27215600000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 87.00 %, Power Usage: 95.43713400000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 87.00 %, Power Usage: 94.85724000000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 89.00 %, Power Usage: 95.45611500000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 86.00 %, Power Usage: 95.62829500000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 88.12 %, Power Usage: 91.26539100000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 85.00 %, Power Usage: 95.81420800000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.88909900000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 86.00 %, Power Usage: 95.46771200000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 154.00 %, Power Usage: 99.70140400000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 160.00 %, Power Usage: 101.25212100000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 209.00 %, Power Usage: 115.97132200000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 83.00 %, Power Usage: 98.28002200000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.99554300000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 89.00 %, Power Usage: 95.54162500000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 82.00 %, Power Usage: 95.84570200000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.17913900000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 80.00 %, Power Usage: 95.61572200000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 91.25733500000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.99554300000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 103.00 %, Power Usage: 96.19274700000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.82281300000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 89.00 %, Power Usage: 95.00671500000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 86.00 %, Power Usage: 95.87463200000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.92425500000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 96.18835200000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 161.00 %, Power Usage: 98.68035000000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 143.00 %, Power Usage: 100.38560700000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 207.00 %, Power Usage: 116.32996400000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 103.54935700000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 95.00 %, Power Usage: 96.14574900000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 91.01588100000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 95.47717200000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 83.00 %, Power Usage: 95.01513800000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 91.00 %, Power Usage: 95.19464100000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 89.00 %, Power Usage: 95.76184000000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 84.00 %, Power Usage: 94.67822500000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 88.00 %, Power Usage: 92.52179700000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 96.00481900000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 90.00 %, Power Usage: 91.21686900000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 81.00 %, Power Usage: 96.57269000000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 107.92 %, Power Usage: 105.49338200000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 213.00 %, Power Usage: 111.79018000000000000000 W
Memory Usage: 167.848 MB, CPU Usage: 108.00 %, Power Usage: 108.41049000000000000000 W
