Memory Usage: 170.875 MB, CPU Usage: 122.00 %, Power Usage: 116.48786000000000000000 W
Memory Usage: 173.934 MB, CPU Usage: 196.00 %, Power Usage: 117.91199100000000000000 W
Memory Usage: 173.613 MB, CPU Usage: 197.00 %, Power Usage: 115.18622900000000000000 W
Memory Usage: 180.246 MB, CPU Usage: 155.00 %, Power Usage: 116.17823000000000000000 W
Memory Usage: 169.852 MB, CPU Usage: 123.00 %, Power Usage: 116.56555900000000000000 W
Memory Usage: 170.828 MB, CPU Usage: 195.00 %, Power Usage: 117.87604000000000000000 W
Memory Usage: 172.395 MB, CPU Usage: 196.00 %, Power Usage: 116.17170000000000000000 W
Memory Usage: 179.234 MB, CPU Usage: 153.00 %, Power Usage: 116.96222600000000000000 W
Memory Usage: 179.074 MB, CPU Usage: 133.00 %, Power Usage: 116.75549900000000000000 W
Memory Usage: 177.074 MB, CPU Usage: 197.00 %, Power Usage: 117.57379600000000000000 W
Memory Usage: 190.793 MB, CPU Usage: 174.00 %, Power Usage: 112.92054700000000000000 W
Memory Usage: 173.629 MB, CPU Usage: 136.00 %, Power Usage: 116.32801100000000000000 W
Memory Usage: 171.664 MB, CPU Usage: 196.00 %, Power Usage: 116.53485800000000000000 W
Memory Usage: 183.926 MB, CPU Usage: 150.00 %, Power Usage: 114.62702600000000000000 W
Memory Usage: 177.805 MB, CPU Usage: 153.00 %, Power Usage: 118.46545600000000000000 W
Memory Usage: 184.418 MB, CPU Usage: 196.00 %, Power Usage: 115.65979900000000000000 W
Memory Usage: 177.887 MB, CPU Usage: 135.00 %, Power Usage: 115.69629800000000000000 W
Memory Usage: 173.758 MB, CPU Usage: 176.00 %, Power Usage: 118.30475100000000000000 W
Memory Usage: 181.703 MB, CPU Usage: 196.00 %, Power Usage: 115.60157200000000000000 W
Memory Usage: 181.824 MB, CPU Usage: 111.00 %, Power Usage: 114.86829700000000000000 W
Memory Usage: 175.152 MB, CPU Usage: 196.00 %, Power Usage: 119.06719900000000000000 W
