Memory Usage: 304.633 MB, CPU Usage: 161.00 %, Power Usage: 43.62318000000000000000 W
Memory Usage: 305.188 MB, CPU Usage: 168.00 %, Power Usage: 43.68934100000000000000 W
Memory Usage: 305.164 MB, CPU Usage: 181.00 %, Power Usage: 43.85352500000000000000 W
Memory Usage: 305.125 MB, CPU Usage: 166.00 %, Power Usage: 44.25812700000000000000 W
Memory Usage: 305.438 MB, CPU Usage: 178.00 %, Power Usage: 43.95075400000000000000 W
Memory Usage: 305.438 MB, CPU Usage: 170.00 %, Power Usage: 43.85438000000000000000 W
Memory Usage: 345.004 MB, CPU Usage: 180.00 %, Power Usage: 44.04072000000000000000 W
Memory Usage: 376.523 MB, CPU Usage: 181.00 %, Power Usage: 44.13477400000000000000 W
Memory Usage: 305.793 MB, CPU Usage: 169.00 %, Power Usage: 44.20435500000000000000 W
Memory Usage: 305.637 MB, CPU Usage: 129.00 %, Power Usage: 44.09815400000000000000 W
Memory Usage: 306.469 MB, CPU Usage: 163.00 %, Power Usage: 43.15974000000000000000 W
Memory Usage: 306.051 MB, CPU Usage: 166.00 %, Power Usage: 43.76087500000000000000 W
Memory Usage: 306.676 MB, CPU Usage: 169.00 %, Power Usage: 43.67035900000000000000 W
Memory Usage: 306.789 MB, CPU Usage: 151.00 %, Power Usage: 43.55164600000000000000 W
Memory Usage: 306.781 MB, CPU Usage: 173.00 %, Power Usage: 43.80390400000000000000 W
Memory Usage: 307.566 MB, CPU Usage: 180.00 %, Power Usage: 43.96985800000000000000 W
Memory Usage: 307.605 MB, CPU Usage: 185.00 %, Power Usage: 44.08295600000000000000 W
Memory Usage: 344.133 MB, CPU Usage: 179.00 %, Power Usage: 42.12953100000000000000 W
Memory Usage: 307.57 MB, CPU Usage: 183.00 %, Power Usage: 44.11622000000000000000 W
Memory Usage: 307.625 MB, CPU Usage: 163.00 %, Power Usage: 43.90485600000000000000 W
Memory Usage: 307.59 MB, CPU Usage: 178.00 %, Power Usage: 43.88288300000000000000 W
Memory Usage: 307.578 MB, CPU Usage: 177.00 %, Power Usage: 43.78486100000000000000 W
Memory Usage: 307.586 MB, CPU Usage: 165.00 %, Power Usage: 43.76258400000000000000 W
Memory Usage: 363.82 MB, CPU Usage: 176.00 %, Power Usage: 43.69977800000000000000 W
Memory Usage: 308.707 MB, CPU Usage: 157.00 %, Power Usage: 43.69971700000000000000 W
Memory Usage: 308.543 MB, CPU Usage: 174.00 %, Power Usage: 43.62409500000000000000 W
Memory Usage: 308.52 MB, CPU Usage: 168.00 %, Power Usage: 43.73615500000000000000 W
Memory Usage: 308.5 MB, CPU Usage: 180.00 %, Power Usage: 43.94953400000000000000 W
Memory Usage: 308.875 MB, CPU Usage: 179.00 %, Power Usage: 44.03797300000000000000 W
Memory Usage: 308.875 MB, CPU Usage: 167.00 %, Power Usage: 43.88794900000000000000 W
Memory Usage: 309.094 MB, CPU Usage: 100.00 %, Power Usage: 43.35010900000000000000 W
Memory Usage: 309.516 MB, CPU Usage: 173.00 %, Power Usage: 43.66700200000000000000 W
