Memory Usage: 273.977 MB, CPU Usage: 168.00 %, Power Usage: 44.18079500000000000000 W
Memory Usage: 274.359 MB, CPU Usage: 177.00 %, Power Usage: 43.91810100000000000000 W
Memory Usage: 274.461 MB, CPU Usage: 153.00 %, Power Usage: 52.17137500000000000000 W
Memory Usage: 275.277 MB, CPU Usage: 164.00 %, Power Usage: 44.48224700000000000000 W
Memory Usage: 275.789 MB, CPU Usage: 153.00 %, Power Usage: 43.61103300000000000000 W
Memory Usage: 276.566 MB, CPU Usage: 169.00 %, Power Usage: 47.79785200000000000000 W
Memory Usage: 277.367 MB, CPU Usage: 155.00 %, Power Usage: 48.11181500000000000000 W
Memory Usage: 278.164 MB, CPU Usage: 160.00 %, Power Usage: 44.04249000000000000000 W
Memory Usage: 278.695 MB, CPU Usage: 160.00 %, Power Usage: 43.81208300000000000000 W
Memory Usage: 312.93 MB, CPU Usage: 177.00 %, Power Usage: 43.89960600000000000000 W
Memory Usage: 279.887 MB, CPU Usage: 115.00 %, Power Usage: 44.05884800000000000000 W
Memory Usage: 279.758 MB, CPU Usage: 168.00 %, Power Usage: 43.69562700000000000000 W
Memory Usage: 280.516 MB, CPU Usage: 157.00 %, Power Usage: 43.65650500000000000000 W
Memory Usage: 280.934 MB, CPU Usage: 146.00 %, Power Usage: 43.60425800000000000000 W
Memory Usage: 287.391 MB, CPU Usage: 166.00 %, Power Usage: 44.49866600000000000000 W
Memory Usage: 372.934 MB, CPU Usage: 160.00 %, Power Usage: 43.45490600000000000000 W
Memory Usage: 281.906 MB, CPU Usage: 139.00 %, Power Usage: 43.87513100000000000000 W
Memory Usage: 282.391 MB, CPU Usage: 137.00 %, Power Usage: 43.38880500000000000000 W
Memory Usage: 282.703 MB, CPU Usage: 155.00 %, Power Usage: 43.63288400000000000000 W
Memory Usage: 283.227 MB, CPU Usage: 162.00 %, Power Usage: 42.97565900000000000000 W
Memory Usage: 282.57 MB, CPU Usage: 145.00 %, Power Usage: 43.95215800000000000000 W
Memory Usage: 282.391 MB, CPU Usage: 166.00 %, Power Usage: 43.72632900000000000000 W
Memory Usage: 281.895 MB, CPU Usage: 165.00 %, Power Usage: 43.55720000000000000000 W
Memory Usage: 282.359 MB, CPU Usage: 147.00 %, Power Usage: 43.35993600000000000000 W
Memory Usage: 281.316 MB, CPU Usage: 167.00 %, Power Usage: 43.47523000000000000000 W
Memory Usage: 281.758 MB, CPU Usage: 162.00 %, Power Usage: 43.52503500000000000000 W
Memory Usage: 282.57 MB, CPU Usage: 168.00 %, Power Usage: 43.44648300000000000000 W
Memory Usage: 281.875 MB, CPU Usage: 158.00 %, Power Usage: 43.70466100000000000000 W
Memory Usage: 282.406 MB, CPU Usage: 166.00 %, Power Usage: 43.13972100000000000000 W
Memory Usage: 283.074 MB, CPU Usage: 155.00 %, Power Usage: 44.09925300000000000000 W
Memory Usage: 283.293 MB, CPU Usage: 156.00 %, Power Usage: 43.29920500000000000000 W
Memory Usage: 282.719 MB, CPU Usage: 167.33 %, Power Usage: 43.77912400000000000000 W
Memory Usage: 281.289 MB, CPU Usage: 181.00 %, Power Usage: 49.81933100000000000000 W
Memory Usage: 282.375 MB, CPU Usage: 179.00 %, Power Usage: 51.39531500000000000000 W
Memory Usage: 282.277 MB, CPU Usage: 134.00 %, Power Usage: 43.51008100000000000000 W
Memory Usage: 283.074 MB, CPU Usage: 172.00 %, Power Usage: 43.66205900000000000000 W
Memory Usage: 326.254 MB, CPU Usage: 181.00 %, Power Usage: 43.68543500000000000000 W
Memory Usage: 407.555 MB, CPU Usage: 158.00 %, Power Usage: 43.42969800000000000000 W
Memory Usage: 283.629 MB, CPU Usage: 181.00 %, Power Usage: 43.74042800000000000000 W
Memory Usage: 284.457 MB, CPU Usage: 158.00 %, Power Usage: 43.23774300000000000000 W
Memory Usage: 284.715 MB, CPU Usage: 160.00 %, Power Usage: 43.58253000000000000000 W
Memory Usage: 284.715 MB, CPU Usage: 145.00 %, Power Usage: 42.97871100000000000000 W
Memory Usage: 284.715 MB, CPU Usage: 156.00 %, Power Usage: 43.59150200000000000000 W
Memory Usage: 284.324 MB, CPU Usage: 179.00 %, Power Usage: 43.50941000000000000000 W
Memory Usage: 282.203 MB, CPU Usage: 184.00 %, Power Usage: 43.31934700000000000000 W
Memory Usage: 283.441 MB, CPU Usage: 170.00 %, Power Usage: 43.25819000000000000000 W
Memory Usage: 349.879 MB, CPU Usage: 128.00 %, Power Usage: 44.60675900000000000000 W
Memory Usage: 282.66 MB, CPU Usage: 178.00 %, Power Usage: 43.78150400000000000000 W
Memory Usage: 391.945 MB, CPU Usage: 172.00 %, Power Usage: 43.00739700000000000000 W
Memory Usage: 283.332 MB, CPU Usage: 178.00 %, Power Usage: 43.72040800000000000000 W
Memory Usage: 283.57 MB, CPU Usage: 173.00 %, Power Usage: 43.46162000000000000000 W
Memory Usage: 283.781 MB, CPU Usage: 181.00 %, Power Usage: 43.80549100000000000000 W
Memory Usage: 284.25 MB, CPU Usage: 167.00 %, Power Usage: 43.49329700000000000000 W
