2025/01/09 17:15:54.452, 40.21 W, 0 %, 2565 MiB, 16384 MiB
2025/01/09 17:15:55.482, 39.71 W, 8 %, 2565 MiB, 16384 MiB
2025/01/09 17:15:56.514, 39.99 W, 100 %, 3373 MiB, 16384 MiB
2025/01/09 17:15:57.543, 49.49 W, 23 %, 2595 MiB, 16384 MiB
2025/01/09 17:15:58.575, 49.49 W, 30 %, 2629 MiB, 16384 MiB
2025/01/09 17:15:59.606, 39.72 W, 33 %, 2689 MiB, 16384 MiB
2025/01/09 17:16:00.636, 39.74 W, 8 %, 2557 MiB, 16384 MiB
2025/01/09 17:16:01.664, 39.74 W, 25 %, 2557 MiB, 16384 MiB
2025/01/09 17:16:02.694, 42.90 W, 0 %, 2611 MiB, 16384 MiB
2025/01/09 17:16:03.721, 40.21 W, 21 %, 2557 MiB, 16384 MiB
2025/01/09 17:16:04.753, 50.21 W, 24 %, 2587 MiB, 16384 MiB
2025/01/09 17:16:05.783, 39.74 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:16:06.813, 50.95 W, 0 %, 2613 MiB, 16384 MiB
2025/01/09 17:16:07.843, 49.24 W, 11 %, 2773 MiB, 16384 MiB
2025/01/09 17:16:08.873, 48.76 W, 21 %, 2597 MiB, 16384 MiB
2025/01/09 17:16:09.902, 40.21 W, 13 %, 2557 MiB, 16384 MiB
2025/01/09 17:16:10.930, 40.23 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:16:11.960, 73.20 W, 12 %, 2735 MiB, 16384 MiB
2025/01/09 17:16:12.989, 40.45 W, 36 %, 2557 MiB, 16384 MiB
2025/01/09 17:16:14.018, 52.88 W, 28 %, 2665 MiB, 16384 MiB
2025/01/09 17:16:15.049, 40.48 W, 61 %, 2827 MiB, 16384 MiB
2025/01/09 17:16:16.080, 40.45 W, 27 %, 2557 MiB, 16384 MiB
2025/01/09 17:16:17.108, 40.21 W, 14 %, 2557 MiB, 16384 MiB
2025/01/09 17:16:18.138, 45.60 W, 13 %, 2627 MiB, 16384 MiB
2025/01/09 17:16:19.167, 54.14 W, 25 %, 2625 MiB, 16384 MiB
2025/01/09 17:16:20.196, 40.94 W, 12 %, 2633 MiB, 16384 MiB
2025/01/09 17:16:21.225, 81.93 W, 27 %, 3085 MiB, 16384 MiB
2025/01/09 17:16:22.256, 40.45 W, 19 %, 2557 MiB, 16384 MiB
2025/01/09 17:16:23.286, 41.19 W, 9 %, 2703 MiB, 16384 MiB
2025/01/09 17:16:24.315, 59.01 W, 27 %, 2627 MiB, 16384 MiB
2025/01/09 17:16:25.345, 40.45 W, 9 %, 2561 MiB, 16384 MiB
2025/01/09 17:16:26.376, 40.48 W, 8 %, 2839 MiB, 16384 MiB
2025/01/09 17:16:27.404, 40.45 W, 18 %, 2557 MiB, 16384 MiB
2025/01/09 17:16:28.434, 41.19 W, 0 %, 2561 MiB, 16384 MiB
2025/01/09 17:16:29.463, 40.94 W, 18 %, 2557 MiB, 16384 MiB
2025/01/09 17:16:30.493, 40.69 W, 23 %, 2573 MiB, 16384 MiB
2025/01/09 17:16:31.522, 35.09 W, 16 %, 2557 MiB, 16384 MiB
2025/01/09 17:16:32.551, 46.31 W, 0 %, 2613 MiB, 16384 MiB
2025/01/09 17:16:33.582, 35.33 W, 19 %, 2665 MiB, 16384 MiB
2025/01/09 17:16:34.612, 35.33 W, 22 %, 2557 MiB, 16384 MiB
2025/01/09 17:16:35.641, 35.09 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:16:36.670, 35.09 W, 12 %, 2557 MiB, 16384 MiB
2025/01/09 17:16:37.701, 41.93 W, 18 %, 2641 MiB, 16384 MiB
2025/01/09 17:16:38.730, 35.09 W, 13 %, 2611 MiB, 16384 MiB
